Continent,Country,ID_Country
Asia,Viet Nam,704
Asia,Afghanistan,4
Asia,Bangladesh,50
Asia,Bhutan,64
Asia,India,356
Asia,Iran (Islamic Republic of),364
Asia,Maldives,462
Asia,Nepal,524
Asia,Pakistan,586
Asia,Sri Lanka,144
Asia,Armenia,51
Asia,Azerbaijan,31
Asia,Bahrain,48
Asia,Cyprus,196
Asia,Georgia,268
Asia,Iraq,368
Asia,Israel,376
Asia,Jordan,400
Asia,Kuwait,414
Asia,Lebanon,422
Asia,Oman,512
Asia,Qatar,634
Asia,Saudi Arabia,682
Asia,State of Palestine,275
Asia,Syrian Arab Republic,760
Asia,Türkiye,792
Asia,United Arab Emirates,784
Asia,Yemen,887
Europe,Belarus,112
Europe,Bulgaria,100
Europe,Czechia,203
Europe,Hungary,348
Europe,Poland,616
Europe,Republic of Moldova,498
Europe,Romania,642
Europe,Russian Federation,643
Europe,Slovakia,703
Europe,Ukraine,804
Europe,Åland Islands,248
Europe,Denmark,208
Europe,Estonia,233
Europe,Faroe Islands,234
Europe,Finland,246
Europe,Guernsey,831
Europe,Iceland,352
Europe,Ireland,372
Europe,Isle of Man,833
Europe,Jersey,832
Europe,Latvia,428
Europe,Lithuania,440
Europe,Norway,578
Europe,Svalbard and Jan Mayen Islands,744
Europe,Sweden,752
Europe,United Kingdom of Great Britain and Northern Ireland,826
Europe,Albania,8
Europe,Andorra,20
Europe,Bosnia and Herzegovina,70
Europe,Croatia,191
Europe,Gibraltar,292
Europe,Greece,300
Europe,Holy See,336
Europe,Italy,380
Europe,Malta,470
Europe,Montenegro,499
Europe,North Macedonia,807
Europe,Portugal,620
Europe,San Marino,674
Europe,Serbia,688
Europe,Slovenia,705
Europe,Spain,724
Europe,Austria,40
Europe,Belgium,56
Europe,France,250
Europe,Germany,276
Europe,Liechtenstein,438
Europe,Luxembourg,442
Europe,Monaco,492
Europe,Netherlands (Kingdom of the),528
Europe,Switzerland,756
Oceania,Australia,36
Oceania,Christmas Island,162
Oceania,Cocos (Keeling) Islands,166
Oceania,Heard Island and McDonald Islands,334
Oceania,New Zealand,554
Oceania,Norfolk Island,574
Oceania,Fiji,242
Oceania,New Caledonia,540
Oceania,Papua New Guinea,598
Oceania,Solomon Islands,90
Oceania,Vanuatu,548
Oceania,Guam,316
Oceania,Kiribati,296
Oceania,Marshall Islands,584
Oceania,Micronesia (Federated States of),583
Oceania,Nauru,520
Oceania,Northern Mariana Islands,580
Oceania,Palau,585
Oceania,United States Minor Outlying Islands,581
Oceania,American Samoa,16
Oceania,Cook Islands,184
Oceania,French Polynesia,258
Oceania,Niue,570
Oceania,Pitcairn,612
Oceania,Samoa,882
Oceania,Tokelau,772
Oceania,Tonga,776
Oceania,Tuvalu,798
Oceania,Wallis and Futuna Islands,876
